Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
SuperSport Blitz,male,black,27,3. Young Adult,Gauteng,0:00:58,1. Skim,0.016111,0.016111,17:00.0,Tue,2,Feb,Weekday,2. Morning_Peak
ICC Cricket World Cup 2011,male,None,53,4. Adult,Gauteng,0:06:18,2. Short_watch,0.105,0.105,41:00.0,Sat,5,Mar,Weekend,4. Afternoon
Cartoon Network,male,black,36,4. Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,46:00.0,Tue,29,Mar,Weekday,1. Graveyard
Africa Magic,male,black,32,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,48:00.0,Fri,19,Feb,Weekday,4. Afternoon
Africa Magic,male,black,25,3. Young Adult,Limpopo,0:00:01,1. Skim,0.000278,0.000278,44:00.0,Thu,10,Mar,Weekday,2. Morning_Peak
SawSee,male,white,41,4. Adult,Kwazulu Natal,0:00:29,1. Skim,0.008056,0.008056,20:00.0,Tue,12,Jan,Weekday,5. Evening
Supersport Live Events,male,coloured,43,4. Adult,Western Cape,0:25:30,3. Regular_watch,0.425,0.425,33:00.0,Sat,23,Jan,Weekend,4. Afternoon
SawSee,male,black,35,3. Young Adult,Western Cape,0:00:33,1. Skim,0.009167,0.009167,38:00.0,Sun,20,Mar,Weekend,4. Afternoon
Boomerang,male,white,38,4. Adult,Western Cape,0:01:00,1. Skim,0.016667,0.016667,40:00.0,Tue,22,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,black,22,3. Young Adult,Gauteng,0:07:56,2. Short_watch,0.132223,0.132223,29:00.0,Fri,19,Feb,Weekday,5. Evening
CNN,male,white,29,3. Young Adult,Gauteng,0:00:03,1. Skim,0.000833,0.000833,55:00.0,Tue,9,Feb,Weekday,5. Evening
Cartoon Network,male,white,32,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,06:00.0,Fri,8,Jan,Weekday,6. Evening_Peak
SawSee,male,white,45,4. Adult,Free State,0:00:00,1. Skim,0,0.00E+00,06:00.0,Tue,15,Mar,Weekday,5. Evening
E! Entertainment,female,black,41,4. Adult,Eastern Cape,0:02:12,1. Skim,0.036666,0.036666,34:00.0,Mon,29,Feb,Weekday,1. Graveyard
Africa Magic,male,black,35,3. Young Adult,Gauteng,0:06:24,2. Short_watch,0.106667,0.106667,44:00.0,Tue,12,Jan,Weekday,3. Mid_Morning
Channel O,male,black,41,4. Adult,Kwazulu Natal,0:04:03,1. Skim,0.0675,0.0675,58:00.0,Thu,3,Mar,Weekday,6. Evening_Peak
Cartoon Network,male,coloured,26,3. Young Adult,Western Cape,0:01:54,1. Skim,0.031667,0.031667,02:00.0,Fri,19,Feb,Weekday,2. Morning_Peak
Wimbledon,male,black,39,4. Adult,Gauteng,0:00:06,1. Skim,0.001667,0.001667,38:00.0,Sat,13,Feb,Weekend,4. Afternoon
SuperSport Blitz,male,indian_asian,24,3. Young Adult,Gauteng,0:16:09,3. Regular_watch,0.269167,0.269167,43:00.0,Thu,17,Mar,Weekday,3. Mid_Morning
Supersport Live Events,male,black,40,4. Adult,Kwazulu Natal,0:46:12,3. Regular_watch,0.77,0.77,10:00.0,Thu,24,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,30,3. Young Adult,Gauteng,0:03:42,1. Skim,0.061667,0.061667,59:00.0,Wed,30,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,black,22,3. Young Adult,Gauteng,0:30:36,3. Regular_watch,0.51,0.51,23:00.0,Thu,10,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,white,34,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,04:00.0,Tue,8,Mar,Weekday,4. Afternoon
